1pipdn2c[c];cpd00922
h[c];cpd00067
nadph[c];cpd00005
Lpipecol[c];cpd00323
nadp[c];cpd00006
2dhglcn[c];cpd00480
atp[c];cpd00002
adp[c];cpd00008
2dhglcn[p];cpd00480
h[p];cpd00067
34hpp[c];cpd00868
o2[c];cpd00007
co2[c];cpd00011
hgentis[c];cpd00426
3hdecACP[c];cpd11482
coa[c];cpd00010
ACP[c];cpd11493
R_3hdcoa[c];cpd16755
3hddecACP[c];cpd11480
R_3hddcoa[c];cpd16756
3hcddec5eACP[c];cpd15366
R_3hcddec5ecoa[c];cpd16753
3hmrsACP[c];cpd16859
R_3hmrscoa[c];cpd16758
3hcmrs7eACP[c];cpd15368
R_3hcmrs7ecoa[c];cpd16754
3hhexACP[c];cpd16856
R_3hhcoa[c];cpd16777
3hoctACP[c];cpd16857
R_3hocoa[c];cpd16779
h2o[c];cpd00001
tdec2eACP[c];cpd11475
tddec2eACP[c];cpd11469
t3c5ddeceACP[c];cpd15569
tmrs2eACP[c];cpd11467
t3c7mrseACP[c];cpd15570
3hpalmACP[c];cpd11481
tpalm2eACP[c];cpd11477
3hcpalm9eACP[c];cpd15369
t3c9palmeACP[c];cpd15571
3hoctaACP[c];cpd15371
toctd2eACP[c];cpd11572
3hcvac11eACP[c];cpd15370
t3c11vaceACP[c];cpd15568
3haACP[c];cpd11478
but2eACP[c];cpd11465
thex2eACP[c];cpd11473
toct2eACP[c];cpd11552
3oxoadp[c];cpd00269
succoa[c];cpd00078
oxadpcoa[c];cpd01507
succ[c];cpd00036
3odecACP[c];cpd11487
3oddecACP[c];cpd11489
3ocddec5eACP[c];cpd15373
3omrsACP[c];cpd11491
3ocmrs7eACP[c];cpd15374
3opalmACP[c];cpd11485
3ocpalm9eACP[c];cpd15375
3ooctdACP[c];cpd15377
3ocvac11eACP[c];cpd15376
actACP[c];cpd11488
3ohexACP[c];cpd11486
3ooctACP[c];cpd11490
malACP[c];cpd11492
ocACP[c];cpd11470
dcaACP[c];cpd11474
cdec3eACP[c];cpd15416
ddcaACP[c];cpd11468
cddec5eACP[c];cpd15415
myrsACP[c];cpd11466
tdeACP[c];cpd15294
palmACP[c];cpd15277
hdeACP[c];cpd15239
butACP[c];cpd11464
hexACP[c];cpd11472
accoa[c];cpd00022
3oxoadp[p];cpd00269
34dhbz[p];cpd00197
34dhbz[c];cpd00197
34dhbz[e];cpd00197
T4hcinnm[c];cpd00604
4cmcoa[c];cpd00192
amp[c];cpd00018
ppi[c];cpd00012
4cml[c];cpd00938
5odhf2a[c];cpd02255
4hbz[c];cpd00136
phthr[c];cpd03607
4hthr[c];cpd03608
pi[c];cpd00009
L2aadp6sa[c];cpd02522
nad[c];cpd00003
L2aadp[c];cpd00705
nadh[c];cpd00004
4abut[c];cpd00281
akg[c];cpd00024
glu_L[c];cpd00023
sucsal[c];cpd00199
4abut[p];cpd00281
aacoa[c];cpd00279
adocbip[c];cpd03919
gtp[c];cpd00038
agdpcbi[c];cpd03920
hco3[c];cpd00242
malcoa[c];cpd00070
acglu[c];cpd00477
acg5p[c];cpd02552
2obut[c];cpd00094
pyr[c];cpd00020
2ahbut[c];cpd00498
alac_S[c];cpd00668
btcoa[c];cpd00120
fad[c];cpd00015
b2coa[c];cpd00650
fadh2[c];cpd00982
hxcoa[c];cpd03124
hx2coa[c];cpd03125
occoa[c];cpd01335
oc2coa[c];cpd03130
dcacoa[c];cpd03128
dc2coa[c];cpd03129
ddcacoa[c];cpd01260
dd2coa[c];cpd02060
tdcoa[c];cpd01695
td2coa[c];cpd03127
pmtcoa[c];cpd00134
hdd2coa[c];cpd03126
acACP[c];cpd11494
acorn[c];cpd00342
ac[c];cpd00029
orn[c];cpd00064
acon_C[e];cpd00331
acon_C[p];cpd00331
cit[c];cpd00137
icit[c];cpd00260
acon_C[c];cpd00331
acg5sa[c];cpd00918
ppa[c];cpd00141
ppcoa[c];cpd00086
ac[p];cpd00029
adn[c];cpd00182
ins[c];cpd00246
nh4[c];cpd00013
4adcho[c];cpd08210
4abz[c];cpd00443
adcobhex[c];cpd03917
appl[c];cpd02039
adocbi[c];cpd03918
applp[c];cpd02547
adcobdam[c];cpd03916
gln_L[c];cpd00053
camp[c];cpd00446
rdmbzi[c];cpd03423
adocbl[c];cpd00166
gmp[c];cpd00126
ade[c];cpd00128
prpp[c];cpd00103
aicar[c];cpd02851
C04051[c];cpd02506
dcamp[c];cpd02375
fum[c];cpd00106
25aics[c];cpd02921
asp_L[c];cpd00041
imp[c];cpd00114
gdp[c];cpd00031
agm[c];cpd00152
ptrc[c];cpd00118
urea[c];cpd00073
1ddecg3p[c];cpd15325
pa120[c];cpd15521
1hdecg3p[c];cpd15327
pa160[c];cpd15524
1hdec9eg3p[c];cpd15326
pa161[c];cpd15525
1odecg3p[c];cpd15329
ocdcaACP[c];cpd11573
pa180[c];cpd15526
1odec11eg3p[c];cpd15328
octeACP[c];cpd11825
pa181[c];cpd15527
10fthf[c];cpd00201
fprica[c];cpd02884
thf[c];cpd00087
air[c];cpd02140
5aizc[c];cpd02893
lpam[c];cpd00213
sdhlam[c];cpd00860
dhlam[c];cpd00449
akg[p];cpd00024
ala_D[c];cpd00117
alaala[c];cpd00731
ala_L[c];cpd00035
trnaala[c];cpd11906
alatrna[c];cpd11770
acald[c];cpd00071
etoh[c];cpd00363
pqq[c];cpd00097
pqqh2[c];cpd00986
4ampm[c];cpd02775
for[c];cpd00047
r5p[c];cpd00101
anth[c];cpd00093
pran[c];cpd02642
chor[c];cpd00216
ap4a[c];cpd00924
5apentam[c];cpd00729
5aptn[c];cpd00339
nh3[c];cpd00013
5apru[c];cpd00931
5aprbu[c];cpd02720
aps[c];cpd00193
trdrd[c];cpd11421
so3[c];cpd00081
trdox[c];cpd11420
oxptn[c];cpd02089
arg_L[c];cpd00051
citr_L[c];cpd00274
arg_L[p];cpd00051
orn[p];cpd00064
argsuc[c];cpd02152
trnaarg[c];cpd11907
argtrna[c];cpd12036
arg_L[e];cpd00051
oxoarg_L[c];cpd03528
4pasp[c];cpd01977
aspsa[c];cpd00346
asn_L[c];cpd00132
cbp[c];cpd00146
cbasp[c];cpd00343
h2o2[c];cpd00025
oaa[c];cpd00032
iasp[c];cpd03470
trnaasp[c];cpd11909
asptrna[c];cpd12226
asp_L[p];cpd00041
sucarg[c];cpd02103
prbatp[c];cpd01775
bhb[c];cpd00797
acac[c];cpd00142
betald[c];cpd00447
glyb[c];cpd00540
bz[c];cpd00153
bz12diol[c];cpd02821
catechol[c];cpd00077
bz[p];cpd00153
bz[e];cpd00153
caffcoa[c];cpd00270
34dhbald[c];cpd16507
34dhcinm[c];cpd00881
ccmuac[c];cpd01630
4c2me[c];cpd08287
2p4c2me[c];cpd08288
amet[c];cpd00017
pe161[c];cpd15532
ahcys[c];cpd00019
cpe160[c];cpd15433
pg161[c];cpd15539
cpg160[c];cpd15435
pe181[c];cpd15534
cpe180[c];cpd15434
pg181[c];cpd15541
cpg180[c];cpd15436
chol[p];cpd00098
chol[c];cpd00098
chols[c];cpd00681
so4[c];cpd00048
chols[e];cpd00681
chols[p];cpd00681
pphn[c];cpd00219
3psme[c];cpd00932
cit[p];cpd00137
cit[e];cpd00137
pg120[p];cpd15535
clpn120[p];cpd15425
glyc[p];cpd00100
pg160[p];cpd15538
clpn160[p];cpd15428
pg161[p];cpd15539
clpn161[p];cpd15429
pg180[p];cpd15540
clpn180[p];cpd15430
pg181[p];cpd15541
clpn181[p];cpd15431
conialdh[c];cpd01733
fer[c];cpd01059
cobalt2[p];cpd00149
cobalt2[c];cpd00149
hgbam[c];cpd03913
co2dam[c];cpd03914
4hbald[c];cpd00484
cpppg3[c];cpd02083
pppg9[c];cpd00791
dad_5[c];cpd03091
met_L[c];cpd00060
csn[c];cpd00307
ura[c];cpd00092
utp[c];cpd00062
ctp[c];cpd00052
ficytc[c];cpd00109
q8h2[c];cpd15561
focytc[c];cpd00110
q8[c];cpd15560
co1dam[c];cpd03915
pppi[c];cpd00421
acser[c];cpd00722
h2s[c];cpd00239
cys_L[c];cpd00084
tsul[c];cpd00268
scys_L[c];cpd01608
cyst_L[c];cpd00424
trnacys[c];cpd11910
cystrna[c];cpd12255
cys_L[p];cpd00084
cmp[c];cpd00046
cdp[c];cpd00096
dcmp[c];cpd00206
dcdp[c];cpd00533
24dab[c];cpd02095
dad_2[c];cpd00438
din[c];cpd03279
damp[c];cpd00294
dadp[c];cpd00177
26dap_M[c];cpd00516
lys_L[c];cpd00039
26dap_LL[c];cpd00504
cdpdddecg[c];cpd15417
cdpdhdecg[c];cpd15419
cdpdhdec9eg[c];cpd15418
cdpdodecg[c];cpd15421
cdpdodec11eg[c];cpd15420
ru5p_D[c];cpd00171
db4p[c];cpd11225
dctp[c];cpd00356
dutp[c];cpd00358
e4p[c];cpd00236
pep[c];cpd00061
2dda7p[c];cpd02857
dgmp[c];cpd00296
dgdp[c];cpd00295
23dhmb[c];cpd02498
3mob[c];cpd00123
23dhmp[c];cpd02535
3mop[c];cpd00508
23dhdp[c];cpd02120
thdp[c];cpd02465
dhf[c];cpd00330
dhpt[c];cpd00683
dhnpt[c];cpd02961
2ahhmp[c];cpd00954
gcald[c];cpd00229
dhor_S[c];cpd00282
orot[c];cpd00247
2dhphaccoa[c];cpd16740
3hadpcoa[c];cpd09844
h2[c];cpd11640
25dhpp[c];cpd00957
dhbpt[c];cpd00231
thbpt[c];cpd00233
3dhq[c];cpd00699
3dhsk[c];cpd01716
lys_D[c];cpd00549
