Rxn name;Rxn description;Formula;Formula;Gene-reaction association;Genes;Proteins;Subsystem;Reversible;LB;UB;Objective;Confidence Score;EC Number;Notes;References
34HPPOR;4 Hydroxyphenylpyruvateoxygen oxidoreductase;34hpp[c] + o2[c]  -> co2[c] + hgentis[c] ;cpd00868 + cpd00007  -> cpd00011 + cpd00426 ;Pspto_2346 or Pspto_3553;Pspto_2346 . Pspto_3553;;Homogentisate Pathway;0;0;1000;0;2;1.13.11.27;Based on iJN746;PMID:18793442
3HAACOAT100;3 Hydroxyacyl ACPCoA Transacylase;3hdecACP[c] + coa[c]  <=> ACP[c] + R_3hdcoa[c] ;cpd11482 + cpd00010  <=> cpd11493 + cpd16755 ;;;;PHAs Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3HAACOAT120;3 Hydroxyacyl ACPCoA Transacylase;coa[c] + 3hddecACP[c]  <=> ACP[c] + R_3hddcoa[c] ;cpd00010 + cpd11480  <=> cpd11493 + cpd16756 ;;;;PHAs Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3HAACOAT121;3 Hydroxyacyl ACPCoA Transacylase;coa[c] + 3hcddec5eACP[c]  <=> ACP[c] + R_3hcddec5ecoa[c] ;cpd00010 + cpd15366  <=> cpd11493 + cpd16753 ;;;;PHAs Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3HAACOAT140;3 Hydroxyacyl ACPCoA Transacylase;coa[c] + 3hmrsACP[c]  <=> ACP[c] + R_3hmrscoa[c] ;cpd00010 + cpd16859  <=> cpd11493 + cpd16758 ;;;;PHAs Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3HAACOAT141;3 Hydroxyacyl ACPCoA Transacylase;coa[c] + 3hcmrs7eACP[c]  <=> ACP[c] + R_3hcmrs7ecoa[c] ;cpd00010 + cpd15368  <=> cpd11493 + cpd16754 ;;;;PHAs Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3HAACOAT60;3 Hydroxyacyl ACPCoA Transacylase;coa[c] + 3hhexACP[c]  <=> ACP[c] + R_3hhcoa[c] ;cpd00010 + cpd16856  <=> cpd11493 + cpd16777 ;;;;PHAs Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3HAACOAT80;3 Hydroxyacyl ACPCoA Transacylase;coa[c] + 3hoctACP[c]  <=> ACP[c] + R_3hocoa[c] ;cpd00010 + cpd16857  <=> cpd11493 + cpd16779 ;;;;PHAs Metabolism;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
ASNS1;asparagine synthase glutamine hydrolysing ;atp[c] + h2o[c] + gln_L[c] + asp_L[c]  -> h[c] + amp[c] + ppi[c] + glu_L[c] + asn_L[c] ;cpd00002 + cpd00001 + cpd00053 + cpd00041  -> cpd00067 + cpd00018 + cpd00012 + cpd00023 + cpd00132 ;Pput_3964;Pput_3964;;Alanine and Aspartate Metabolism ;0;0;1000;0;2;6.3.5.4;Based on iJN746;PMID:18793442
3HAD100;3 hydroxyacyl acyl carrier protein dehydratase n C100 ;3hdecACP[c]  -> h2o[c] + tdec2eACP[c] ;cpd11482  -> cpd00001 + cpd11475 ;PSPTO_2211 or PSPTO_3830;PSPTO_2211 . PSPTO_3830;fabA. fabF;Fatty Acid Biosynthesis;0;0;1000;0;2;4.2.1.59;Based on iJN746;PMID:18793442
3HAD120;3 hydroxyacyl acyl carrier protein dehydratase n C120 ;3hddecACP[c]  -> h2o[c] + tddec2eACP[c] ;cpd11480  -> cpd00001 + cpd11469 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD121;3 hydroxyacyl acyl carrier protein dehydratase n C121 ;3hcddec5eACP[c]  -> h2o[c] + t3c5ddeceACP[c] ;cpd15366  -> cpd00001 + cpd15569 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD140;3 hydroxyacyl acyl carrier protein dehydratase n C140 ;3hmrsACP[c]  -> h2o[c] + tmrs2eACP[c] ;cpd16859  -> cpd00001 + cpd11467 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD141;3 hydroxyacyl acyl carrier protein dehydratase n C141 ;3hcmrs7eACP[c]  -> h2o[c] + t3c7mrseACP[c] ;cpd15368  -> cpd00001 + cpd15570 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD160;3 hydroxyacyl acyl carrier protein dehydratase n C160 ;3hpalmACP[c]  -> h2o[c] + tpalm2eACP[c] ;cpd11481  -> cpd00001 + cpd11477 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD161;3 hydroxyacyl acyl carrier protein dehydratase n C161 ;3hcpalm9eACP[c]  -> h2o[c] + t3c9palmeACP[c] ;cpd15369  -> cpd00001 + cpd15571 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD180;3 hydroxyacyl acyl carrier protein dehydratase n C180 ;3hoctaACP[c]  -> h2o[c] + toctd2eACP[c] ;cpd15371  -> cpd00001 + cpd11572 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD181;3 hydroxyacyl acyl carrier protein dehydratase n C181 ;3hcvac11eACP[c]  -> h2o[c] + t3c11vaceACP[c] ;cpd15370  -> cpd00001 + cpd15568 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD40;3 hydroxyacyl acyl carrier protein dehydratase n C40 ;3haACP[c]  -> h2o[c] + but2eACP[c] ;cpd11478  -> cpd00001 + cpd11465 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD60;3 hydroxyacyl acyl carrier protein dehydratase n C60 ;3hhexACP[c]  -> h2o[c] + thex2eACP[c] ;cpd16856  -> cpd00001 + cpd11473 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3HAD80;3 hydroxyacyl acyl carrier protein dehydratase n C80 ;3hoctACP[c]  -> h2o[c] + toct2eACP[c] ;cpd16857  -> cpd00001 + cpd11552 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OADPCOAT;3 oxoadipate CoA transferase;3oxoadp[c] + succoa[c]  -> oxadpcoa[c] + succ[c] ;cpd00269 + cpd00078  -> cpd01507 + cpd00036 ;PSPTO_4308 and PSPTO_4309;PSPTO_4308 and PSPTO_4309;catJ and catI;B Ketoadipate pathway;0;0;1000;0;2;2.8.3.6;Based on iJN746;PMID:18793442
3OAR100;3 oxoacyl acyl carrier protein reductase n C100 ;h[c] + nadph[c] + 3odecACP[c]  <=> nadp[c] + 3hdecACP[c] ;cpd00067 + cpd00005 + cpd11487  <=> cpd00006 + cpd11482 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3OAR120;3 oxoacyl acyl carrier protein reductase n C120 ;h[c] + nadph[c] + 3oddecACP[c]  <=> nadp[c] + 3hddecACP[c] ;cpd00067 + cpd00005 + cpd11489  <=> cpd00006 + cpd11480 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3OAR121;3 oxoacyl acyl carrier protein reductase n C121 ;h[c] + nadph[c] + 3ocddec5eACP[c]  -> nadp[c] + 3hcddec5eACP[c] ;cpd00067 + cpd00005 + cpd15373  -> cpd00006 + cpd15366 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAR140;3 oxoacyl acyl carrier protein reductase n C140 ;h[c] + nadph[c] + 3omrsACP[c]  <=> nadp[c] + 3hmrsACP[c] ;cpd00067 + cpd00005 + cpd11491  <=> cpd00006 + cpd16859 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3OAR141;3 oxoacyl acyl carrier protein reductase n C141 ;h[c] + nadph[c] + 3ocmrs7eACP[c]  -> nadp[c] + 3hcmrs7eACP[c] ;cpd00067 + cpd00005 + cpd15374  -> cpd00006 + cpd15368 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAR160;3 oxoacyl acyl carrier protein reductase n C160 ;h[c] + nadph[c] + 3opalmACP[c]  <=> nadp[c] + 3hpalmACP[c] ;cpd00067 + cpd00005 + cpd11485  <=> cpd00006 + cpd11481 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3OAR161;3 oxoacyl acyl carrier protein reductase n C161 ;h[c] + nadph[c] + 3ocpalm9eACP[c]  -> nadp[c] + 3hcpalm9eACP[c] ;cpd00067 + cpd00005 + cpd15375  -> cpd00006 + cpd15369 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAR180;3 oxoacyl acyl carrier protein reductase n C180 ;h[c] + nadph[c] + 3ooctdACP[c]  <=> nadp[c] + 3hoctaACP[c] ;cpd00067 + cpd00005 + cpd15377  <=> cpd00006 + cpd15371 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3OAR181;3 oxoacyl acyl carrier protein reductase n C181 ;h[c] + nadph[c] + 3ocvac11eACP[c]  -> nadp[c] + 3hcvac11eACP[c] ;cpd00067 + cpd00005 + cpd15376  -> cpd00006 + cpd15370 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAR40;3 oxoacyl acyl carrier protein reductase n C40 ;h[c] + nadph[c] + actACP[c]  <=> nadp[c] + 3haACP[c] ;cpd00067 + cpd00005 + cpd11488  <=> cpd00006 + cpd11478 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3OAR60;3 oxoacyl acyl carrier protein reductase n C60 ;h[c] + nadph[c] + 3ohexACP[c]  <=> nadp[c] + 3hhexACP[c] ;cpd00067 + cpd00005 + cpd11486  <=> cpd00006 + cpd16856 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3OAR80;3 oxoacyl acyl carrier protein reductase n C80 ;h[c] + nadph[c] + 3ooctACP[c]  <=> nadp[c] + 3hoctACP[c] ;cpd00067 + cpd00005 + cpd11490  <=> cpd00006 + cpd16857 ;;;;Fatty Acid Biosynthesis;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
3OAS100;3 oxoacyl acyl carrier protein synthase n C100 ;h[c] + malACP[c] + ocACP[c]  -> co2[c] + ACP[c] + 3odecACP[c] ;cpd00067 + cpd11492 + cpd11470  -> cpd00011 + cpd11493 + cpd11487 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS120;3 oxoacyl acyl carrier protein synthase n C120 ;h[c] + malACP[c] + dcaACP[c]  -> co2[c] + ACP[c] + 3oddecACP[c] ;cpd00067 + cpd11492 + cpd11474  -> cpd00011 + cpd11493 + cpd11489 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS121;3 oxoacyl acyl carrier protein synthase n C121 ;h[c] + malACP[c] + cdec3eACP[c]  -> co2[c] + ACP[c] + 3ocddec5eACP[c] ;cpd00067 + cpd11492 + cpd15416  -> cpd00011 + cpd11493 + cpd15373 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS140;3 oxoacyl acyl carrier protein synthase n C140 ;h[c] + malACP[c] + ddcaACP[c]  -> co2[c] + ACP[c] + 3omrsACP[c] ;cpd00067 + cpd11492 + cpd11468  -> cpd00011 + cpd11493 + cpd11491 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS141;3 oxoacyl acyl carrier protein synthase n C141 ;h[c] + malACP[c] + cddec5eACP[c]  -> co2[c] + ACP[c] + 3ocmrs7eACP[c] ;cpd00067 + cpd11492 + cpd15415  -> cpd00011 + cpd11493 + cpd15374 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS160;3 oxoacyl acyl carrier protein synthase n C160 ;h[c] + malACP[c] + myrsACP[c]  -> co2[c] + ACP[c] + 3opalmACP[c] ;cpd00067 + cpd11492 + cpd11466  -> cpd00011 + cpd11493 + cpd11485 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS161;3 oxoacyl acyl carrier protein synthase n C161 ;h[c] + malACP[c] + tdeACP[c]  -> co2[c] + ACP[c] + 3ocpalm9eACP[c] ;cpd00067 + cpd11492 + cpd15294  -> cpd00011 + cpd11493 + cpd15375 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS180;3 oxoacyl acyl carrier protein synthase n C180 ;h[c] + malACP[c] + palmACP[c]  -> co2[c] + ACP[c] + 3ooctdACP[c] ;cpd00067 + cpd11492 + cpd15277  -> cpd00011 + cpd11493 + cpd15377 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS181;3 oxoacyl acyl carrier protein synthase n C181 ;h[c] + malACP[c] + hdeACP[c]  -> co2[c] + ACP[c] + 3ocvac11eACP[c] ;cpd00067 + cpd11492 + cpd15239  -> cpd00011 + cpd11493 + cpd15376 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS60;3 oxoacyl acyl carrier protein synthase n C60 ;h[c] + malACP[c] + butACP[c]  -> co2[c] + ACP[c] + 3ohexACP[c] ;cpd00067 + cpd11492 + cpd11464  -> cpd00011 + cpd11493 + cpd11486 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OAS80;3 oxoacyl acyl carrier protein synthase n C80 ;h[c] + malACP[c] + hexACP[c]  -> co2[c] + ACP[c] + 3ooctACP[c] ;cpd00067 + cpd11492 + cpd11472  -> cpd00011 + cpd11493 + cpd11490 ;;;;Fatty Acid Biosynthesis;0;0;1000;0;2;;Based on iJN746;PMID:18793442
3OXCOAT;3 oxoadipyl CoA thiolase;coa[c] + oxadpcoa[c]  -> succoa[c] + accoa[c] ;cpd00010 + cpd01507  -> cpd00078 + cpd00022 ;PSPTO_4307;PSPTO_4307;catF;B Ketoadipate pathway;0;0;1000;0;2;2.3.1.174;Based on iJN746;PMID:18793442
3OXOADPt_pp_;3 oxoadipate MFS transporter;h[p] + 3oxoadp[p]  <=> h[c] + 3oxoadp[c] ;cpd00067 + cpd00269  <=> cpd00067 + cpd00269 ;;;;B Ketoadipate pathway;1;-1000;1000;0;2;;Based on iJN746;PMID:18793442
