Formula
cpd00868 + cpd00007  -> cpd00011 + cpd00426 
cpd11482 + cpd00010  <=> cpd11493 + cpd16755 
cpd00010 + cpd11480  <=> cpd11493 + cpd16756 
cpd00010 + cpd15366  <=> cpd11493 + cpd16753 
cpd00010 + cpd16859  <=> cpd11493 + cpd16758 
cpd00010 + cpd15368  <=> cpd11493 + cpd16754 
cpd00010 + cpd16856  <=> cpd11493 + cpd16777 
cpd00010 + cpd16857  <=> cpd11493 + cpd16779 
cpd00002 + cpd00001 + cpd00053 + cpd00041  -> cpd00067 + cpd00018 + cpd00012 + cpd00023 + cpd00132 
cpd11482  -> cpd00001 + cpd11475 
cpd11480  -> cpd00001 + cpd11469 
cpd15366  -> cpd00001 + cpd15569 
cpd16859  -> cpd00001 + cpd11467 
cpd15368  -> cpd00001 + cpd15570 
cpd11481  -> cpd00001 + cpd11477 
cpd15369  -> cpd00001 + cpd15571 
cpd15371  -> cpd00001 + cpd11572 
cpd15370  -> cpd00001 + cpd15568 
cpd11478  -> cpd00001 + cpd11465 
cpd16856  -> cpd00001 + cpd11473 
cpd16857  -> cpd00001 + cpd11552 
cpd00269 + cpd00078  -> cpd01507 + cpd00036 
cpd00067 + cpd00005 + cpd11487  <=> cpd00006 + cpd11482 
cpd00067 + cpd00005 + cpd11489  <=> cpd00006 + cpd11480 
cpd00067 + cpd00005 + cpd15373  -> cpd00006 + cpd15366 
cpd00067 + cpd00005 + cpd11491  <=> cpd00006 + cpd16859 
cpd00067 + cpd00005 + cpd15374  -> cpd00006 + cpd15368 
cpd00067 + cpd00005 + cpd11485  <=> cpd00006 + cpd11481 
cpd00067 + cpd00005 + cpd15375  -> cpd00006 + cpd15369 
cpd00067 + cpd00005 + cpd15377  <=> cpd00006 + cpd15371 
cpd00067 + cpd00005 + cpd15376  -> cpd00006 + cpd15370 
cpd00067 + cpd00005 + cpd11488  <=> cpd00006 + cpd11478 
cpd00067 + cpd00005 + cpd11486  <=> cpd00006 + cpd16856 
cpd00067 + cpd00005 + cpd11490  <=> cpd00006 + cpd16857 
cpd00067 + cpd11492 + cpd11470  -> cpd00011 + cpd11493 + cpd11487 
cpd00067 + cpd11492 + cpd11474  -> cpd00011 + cpd11493 + cpd11489 
cpd00067 + cpd11492 + cpd15416  -> cpd00011 + cpd11493 + cpd15373 
cpd00067 + cpd11492 + cpd11468  -> cpd00011 + cpd11493 + cpd11491 
cpd00067 + cpd11492 + cpd15415  -> cpd00011 + cpd11493 + cpd15374 
cpd00067 + cpd11492 + cpd11466  -> cpd00011 + cpd11493 + cpd11485 
cpd00067 + cpd11492 + cpd15294  -> cpd00011 + cpd11493 + cpd15375 
cpd00067 + cpd11492 + cpd15277  -> cpd00011 + cpd11493 + cpd15377 
cpd00067 + cpd11492 + cpd15239  -> cpd00011 + cpd11493 + cpd15376 
cpd00067 + cpd11492 + cpd11464  -> cpd00011 + cpd11493 + cpd11486 
cpd00067 + cpd11492 + cpd11472  -> cpd00011 + cpd11493 + cpd11490 
cpd00010 + cpd01507  -> cpd00078 + cpd00022 
cpd00067 + cpd00269  <=> cpd00067 + cpd00269 
cpd00067 + cpd00197  <=> cpd00067 + cpd00197 
cpd00197  <=> cpd00197 
cpd00002 + cpd00010 + cpd00604  -> cpd00192 + cpd00018 + cpd00012 
cpd00067 + cpd00938  -> cpd00011 + cpd02255 
cpd00001 + cpd03607  -> cpd03608 + cpd00009 
cpd00001 + cpd02522 + cpd00003  -> 2 cpd00067 + cpd00705 + cpd00004 
cpd00281 + cpd00024  <=> cpd00023 + cpd00199 
cpd00067 + cpd00281  -> cpd00067 + cpd00281 
2 cpd00022  <=> cpd00010 + cpd00279 
cpd00067 + cpd03919 + cpd00038  -> cpd00012 + cpd03920 
cpd00002 + cpd00022 + cpd00242  <=> cpd00067 + cpd00008 + cpd00009 + cpd00070 
cpd00002 + cpd00477  -> cpd00008 + cpd02552 
cpd00022 + cpd00023  -> cpd00067 + cpd00010 + cpd00477 
cpd00067 + cpd00094 + cpd00020  -> cpd00011 + cpd00498 
cpd00067 + 2 cpd00020  -> cpd00011 + cpd00668 
cpd00120 + cpd00015  <=> cpd00650 + cpd00982 
cpd00015 + cpd03124  <=> cpd00982 + cpd03125 
cpd00015 + cpd01335  <=> cpd00982 + cpd03130 
cpd00015 + cpd03128  <=> cpd00982 + cpd03129 
cpd00015 + cpd01260  <=> cpd00982 + cpd02060 
cpd00015 + cpd01695  <=> cpd00982 + cpd03127 
cpd00015 + cpd00134  <=> cpd00982 + cpd03126 
cpd11493 + cpd00022  <=> cpd00010 + cpd11494 
cpd00001 + cpd00342  -> cpd00029 + cpd00064 
cpd00331  <=> cpd00331 
cpd00137  <=> cpd00260 
cpd00137  <=> cpd00001 + cpd00331 
cpd00001 + cpd00331  <=> cpd00260 
cpd00024 + cpd00342  <=> cpd00023 + cpd00918 
cpd00002 + cpd00010 + cpd00141  -> cpd00018 + cpd00012 + cpd00086 
cpd00002 + cpd00010 + cpd00029  <=> cpd00022 + cpd00018 + cpd00012 
cpd00067 + cpd00029  -> cpd00067 + cpd00029 
cpd00067 + cpd00001 + cpd00182  -> cpd00246 + cpd00013 
cpd08210  -> cpd00067 + cpd00020 + cpd00443 
cpd00002 + cpd03917 + cpd02039  -> cpd00067 + cpd00008 + cpd00009 + cpd03918 
cpd00002 + cpd03917 + cpd02547  -> cpd00067 + cpd00008 + cpd00009 + cpd03919 
4 cpd00002 + 4 cpd00001 + cpd03916 + 4 cpd00053  -> 4 cpd00067 + 4 cpd00008 + 4 cpd00009 + 4 cpd00023 + cpd03917 
cpd00002 + cpd00018  <=> 2 cpd00008 
cpd00002  <=> cpd00012 + cpd00446 
cpd00002 + cpd03918  -> cpd00067 + cpd00008 + cpd03919 
cpd03920 + cpd03423  -> cpd00067 + cpd00166 + cpd00126 
cpd00128 + cpd00103  -> cpd00018 + cpd00012 
cpd00012 + cpd02851  <=> cpd00103 + cpd00012 
cpd02375  --> cpd00018 + cpd00106 
cpd02921  <=> cpd02851 + cpd00106 
cpd00038 + cpd00041 + cpd00114  -> 2 cpd00067 + cpd00009 + cpd02375 + cpd00031 
cpd11468 + cpd15325  -> cpd11493 + cpd15521 
cpd15277 + cpd15327  -> cpd11493 + cpd15524 
cpd15239 + cpd15326  -> cpd11493 + cpd15525 
cpd15329 + cpd11573  -> cpd11493 + cpd15526 
cpd15328 + cpd11825  -> cpd11493 + cpd15527 
cpd00006 + cpd00009 + cpd00918  <=> cpd00067 + cpd00005 + cpd02552 
cpd02851 + cpd00201  <=> cpd02884 + cpd00087 
cpd00011 + cpd02140  <=> cpd00067 + cpd02893 
cpd00010 + cpd00003 + cpd00024  -> cpd00011 + cpd00078 + cpd00004 
cpd00067 + cpd00024 + cpd00213  <=> cpd00011 + cpd00860 
cpd00010 + cpd00860  <=> cpd00078 + cpd00449 
cpd00067 + cpd00024  <=> cpd00067 + cpd00024 
cpd00002 + 2 cpd00117  <=> cpd00067 + cpd00008 + cpd00009 + cpd00731 
cpd00035  <=> cpd00117 
cpd00002 + cpd00035 + cpd11906  -> cpd00018 + cpd00012 + cpd11770 
cpd00067 + cpd00004 + cpd00071  -> cpd00003 + cpd00363 
cpd00363 + cpd00097  -> cpd00071 + cpd00986 
cpd00001 + cpd00003 + cpd00071  -> 2 cpd00067 + cpd00004 + cpd00029 
cpd00001 + cpd00003 + cpd00071  <=> 2 cpd00067 + cpd00004 + cpd00029 
cpd00001 + cpd00003 + cpd02140  -> 3 cpd00067 + cpd00004 + cpd02775 + 2 cpd00047 
cpd00001 + cpd00018  -> cpd00128 + cpd00101 
cpd00103 + cpd00093  -> cpd00012 + cpd02642 
cpd00053 + cpd00216  -> cpd00067 + cpd00023 + cpd00020 + cpd00093 
cpd00001 + cpd00924  -> 2 cpd00067 + 2 cpd00008 
cpd00001 + cpd00729  -> cpd00339 + cpd00013 
cpd00067 + cpd00005 + cpd00931  -> cpd00006 + cpd02720 
cpd00193 + cpd11421  -> 2 cpd00067 + cpd00018 + cpd00081 + cpd11420 
cpd00024 + cpd00339  <=> cpd00023 + cpd02089 
cpd00064 + cpd00051  <=> cpd00051 + cpd00064 
cpd02152  -> cpd00106 + cpd00051 
cpd00002 + cpd00041 + cpd00274  -> cpd00067 + cpd00018 + cpd00012 + cpd02152 
cpd00002 + cpd00051 + cpd11907  -> cpd00018 + cpd00012 + cpd12036 
cpd00002 + cpd00001 + cpd00051  -> cpd00067 + cpd00008 + cpd00009 + cpd00051 
cpd00051  <=> cpd00051 
cpd00067 + cpd00005 + cpd01977  -> cpd00006 + cpd00009 + cpd00346 
cpd00041 + cpd00146  -> cpd00067 + cpd00009 + cpd00343 
cpd00002 + cpd00041  -> cpd00008 + cpd01977 
cpd00007 + cpd00001 + cpd00041  -> cpd00013 + cpd00025 + cpd00032 
cpd00007 + cpd00041  -> cpd00067 + cpd00025 + cpd03470 
cpd00041  -> cpd00013 + cpd00106 
cpd00024 + cpd00041  <=> cpd00023 + cpd00032 
cpd00002 + cpd00041 + cpd11909  -> cpd00018 + cpd00012 + cpd12226 
cpd00002 + cpd00001 + cpd00041  -> cpd00067 + cpd00008 + cpd00009 + cpd00041 
2 cpd00067 + cpd00041  -> 2 cpd00067 + cpd00041 
cpd00078 + cpd00051  -> cpd00067 + cpd00010 + cpd02103 
cpd00002 + cpd00103  <=> cpd00012 + cpd01775 
cpd00008 + 4 cpd00067 + cpd00009  <=> 3 cpd00067 + cpd00002 + cpd00001 
cpd00003 + cpd00797  <=> cpd00067 + cpd00004 + cpd00142 
cpd00067 + cpd00153  <=> cpd00067 + cpd00153 
cpd00001 + cpd00270  -> cpd00022 + cpd16507 
cpd00002 + cpd00010 + cpd00881  -> cpd00018 + cpd00012 + cpd00270 
2 cpd00025  -> cpd00007 + 2 cpd00001 
2 cpd00002 + cpd00001 + cpd00242 + cpd00053  -> 2 cpd00067 + 2 cpd00008 + cpd00009 + cpd00023 + cpd00146 
cpd00002 + cpd08287  -> cpd00067 + cpd00008 + cpd08288 
2 cpd00017 + cpd15532  -> 2 cpd00067 + 2 cpd00019 + cpd15433 
2 cpd00017 + cpd15539  -> 2 cpd00067 + 2 cpd00019 + cpd15435 
2 cpd00017 + cpd15534  -> 2 cpd00067 + 2 cpd00019 + cpd15434 
2 cpd00017 + cpd15541  -> 2 cpd00067 + 2 cpd00019 + cpd15436 
cpd00002 + cpd00001 + cpd00098  -> cpd00067 + cpd00008 + cpd00009 + cpd00098 
cpd00001 + cpd00681  -> cpd00067 + cpd00098 + cpd00048 
cpd00681  <=> cpd00681 
cpd00002 + cpd00001 + cpd00681  -> cpd00067 + cpd00008 + cpd00009 + cpd00681 
cpd00216  -> cpd00219 
cpd00932  -> cpd00009 + cpd00216 
cpd00067 + cpd00137  <=> cpd00067 + cpd00137 
cpd00137  <=> cpd00137 
2 cpd15535  <=> cpd15425 + cpd00100 
2 cpd15538  <=> cpd00100 + cpd15428 
2 cpd15539  <=> cpd00100 + cpd15429 
2 cpd15540  <=> cpd00100 + cpd15430 
2 cpd15541  <=> cpd00100 + cpd15431 
cpd00001 + cpd00003 + cpd01733  -> 2 cpd00067 + cpd00004 + cpd01059 
cpd00149  -> cpd00149 
cpd00002 + cpd00001 + cpd00149 + cpd03913  -> 2 cpd00067 + cpd00008 + cpd00009 + cpd03914 
cpd00001 + cpd00192  -> cpd00022 + cpd00484 
2 cpd00067 + cpd00007 + cpd02083  -> 2 cpd00011 + 2 cpd00001 + cpd00791 
2 cpd00017 + cpd02083  -> 2 cpd00011 + cpd00791 + 2 cpd03091 + 2 cpd00060 
cpd00001 + cpd00022 + cpd00032  -> cpd00067 + cpd00010 + cpd00137 
cpd00067 + cpd00001 + cpd00307  -> cpd00013 + cpd00092 
cpd00002 + cpd00001 + cpd00053 + cpd00062  -> 2 cpd00067 + cpd00008 + cpd00009 + cpd00023 + cpd00052 
2 cpd00067 + 2 cpd00109 + cpd15561  -> 2 cpd00067 + 2 cpd00110 + cpd15560 
0.5 cpd00007 + 2 cpd00110  -> cpd00001 + 2 cpd00109 
cpd00067 + cpd00002 + cpd03915  -> cpd03916 + cpd00421 
cpd00722 + cpd00239  -> cpd00067 + cpd00029 + cpd00084 
cpd00722 + cpd00268  -> cpd00029 + cpd01608 
cpd00001 + cpd00424  <=> cpd00094 + cpd00013 + cpd00084 
cpd00002 + cpd00084 + cpd11910  -> cpd00018 + cpd00012 + cpd12255 
cpd00002 + cpd00001 + cpd00084  -> cpd00067 + cpd00008 + cpd00009 + cpd00084 
2 cpd00067 + 0.5 cpd00007 + cpd15561  -> 2 cpd00067 + cpd00001 + cpd15560 
4 cpd00067 + 0.5 cpd00007 + cpd15561  -> 4 cpd00067 + cpd00001 + cpd15560 
cpd00002 + cpd00046  <=> cpd00008 + cpd00096 
cpd00002 + cpd00206  <=> cpd00008 + cpd00533 
cpd00001 + cpd00015 + cpd00117  -> cpd00020 + cpd00982 + cpd00013 
2 cpd00067 + cpd00024 + cpd02095  <=> cpd00023 + cpd00346 
cpd00067 + cpd00001 + cpd00438  -> cpd00013 + cpd03279 
cpd00002 + cpd00294  <=> cpd00008 + cpd00177 
cpd00067 + cpd00516  -> cpd00011 + cpd00039 
cpd00504  <=> cpd00516 
cpd00067 + cpd15521 + cpd00052  -> cpd00012 + cpd15417 
cpd00067 + cpd15524 + cpd00052  -> cpd00012 + cpd15419 
cpd00067 + cpd15525 + cpd00052  -> cpd00012 + cpd15418 
cpd00067 + cpd15526 + cpd00052  -> cpd00012 + cpd15421 
cpd00067 + cpd15527 + cpd00052  -> cpd00012 + cpd15420 
cpd00171  -> cpd00067 + cpd00047 + cpd11225 
cpd00067 + cpd00001 + cpd00356  -> cpd00013 + cpd00358 
cpd00067 + cpd00001 + cpd00052  -> cpd00013 + cpd00062 
cpd00001 + cpd00236 + cpd00061  -> cpd00009 + cpd02857 
cpd00002 + cpd00296  <=> cpd00008 + cpd00295 
cpd02498  -> cpd00001 + cpd00123 
cpd02535  -> cpd00001 + cpd00508 
cpd00067 + cpd00005 + cpd02120  -> cpd00006 + cpd02465 
cpd00020 + cpd00346  -> cpd00067 + 2 cpd00001 + cpd02120 
cpd00067 + cpd00005 + cpd00330  <=> cpd00006 + cpd00087 
cpd00002 + cpd00023 + cpd00683  -> cpd00067 + cpd00008 + cpd00009 + cpd00330 
cpd02961  -> cpd00067 + cpd00954 + cpd00229 
cpd00007 + cpd00282  <=> cpd00025 + cpd00247 
cpd00001 + cpd00282  <=> cpd00067 + cpd00343 
cpd00010 + 2 cpd00001 + cpd16740  -> cpd00067 + cpd00022 + cpd09844 + cpd11640 
cpd00067 + cpd00001 + cpd00957  -> cpd00013 + cpd00931 
cpd00067 + cpd00004 + cpd00231  -> cpd00003 + cpd00233 
cpd00699  <=> cpd00001 + cpd01716 
cpd02857  -> cpd00009 + cpd00699 
cpd01716  -> cpd00001 + cpd00197 
cpd00024 + cpd00549  <=> cpd02074 + cpd00186 
cpd00020 + cpd00549  <=> cpd00117 + cpd02074 
cpd00202 + cpd00113  -> cpd00012 + cpd00283 
cpd00001 + cpd03521  -> cpd00009 + cpd02961 
cpd00001 + cpd02978  -> cpd00067 + cpd00012 + cpd03521 
cpd00002 + cpd00655  -> cpd00067 + cpd00008 + cpd00010 
cpd00010 + cpd16744  -> cpd16755 + cpd16752 
cpd00010 + cpd16745  -> cpd16756 + cpd16752 
cpd00010 + cpd16746  -> cpd16753 + cpd16752 
cpd00010 + cpd16747  -> cpd16758 + cpd16752 
cpd00010 + cpd16748  -> cpd16754 + cpd16752 
cpd00010 + cpd16749  -> cpd16777 + cpd16752 
cpd00010 + cpd16750  -> cpd16779 + cpd16752 
cpd00067 + cpd00005 + cpd00712  -> cpd00006 + cpd00408 
cpd00002 + cpd00298  <=> cpd00008 + cpd00297 
cpd00006 + cpd00337  <=> cpd00067 + cpd00005 + cpd00092 
cpd00001 + cpd00358  -> cpd00067 + cpd00012 + cpd00299 
cpd00067 + cpd00005 + cpd08289  -> cpd00006 + cpd08286 
cpd00067 + cpd00020 + cpd00102  -> cpd00011 + cpd08289 
cpd00067 + cpd00221  <=> cpd00067 + cpd00221 
cpd00001 + cpd00003 + cpd00236  <=> 2 cpd00067 + cpd00004 + cpd02147 
cpd00842  <=> cpd00001 + cpd00650 
cpd03122  <=> cpd00001 + cpd03125 
cpd03120  <=> cpd00001 + cpd03130 
cpd03118  <=> cpd00001 + cpd03129 
cpd03116  <=> cpd00001 + cpd02060 
cpd03115  <=> cpd00001 + cpd03127 
cpd03113  <=> cpd00001 + cpd03126 
cpd02711  -> cpd00020 + cpd00102 
cpd00284  -> cpd00001 + cpd02711 
cpd00482  <=> cpd00001 + cpd00061 
cpd00002 + cpd00001 + cpd11579  -> cpd00067 + cpd00008 + cpd00009 + cpd11579 
cpd11579  <=> cpd11579 
cpd00002 + cpd00067 + cpd00010 + cpd01107  -> cpd00067 + cpd00018 + cpd00012 + cpd03128 
cpd00002 + cpd00067 + cpd00010 + cpd01741  -> cpd00067 + cpd00018 + cpd00012 + cpd01260 
cpd00002 + cpd00067 + cpd00010 + cpd03847  -> cpd00067 + cpd00018 + cpd00012 + cpd01695 
cpd00002 + cpd00067 + cpd00010 + cpd00214  -> cpd00067 + cpd00018 + cpd00012 + cpd00134 
cpd00002 + cpd00067 + cpd00010 + cpd01113  -> cpd00067 + cpd00018 + cpd00012 + cpd03124 
cpd00002 + cpd00067 + cpd00010 + cpd03846  -> cpd00067 + cpd00018 + cpd00012 + cpd01335 
cpd00007 + 2 cpd00110 + 2 cpd00055  -> 4 cpd00067 + 2 cpd00047 + 2 cpd00410 
cpd00290  <=> cpd00102 + cpd00095 
cpd00001 + cpd00290  -> cpd00009 + cpd00072 
cpd00021 + cpd01476  -> 2 cpd00067 + cpd00028 
cpd00001 + cpd00321  -> cpd00022 + cpd00561 
cpd00003 + cpd00047  -> cpd00011 + cpd00004 
cpd00007 + cpd01270 + cpd03048  -> cpd00067 + cpd00001 + cpd00081 + cpd00229 + cpd00050 
cpd00007 + cpd01270 + cpd08023  -> cpd00067 + cpd00001 + cpd00081 + cpd00055 + cpd00050 
cpd00007 + cpd11579 + cpd01270  -> cpd00067 + cpd00001 + cpd00071 + cpd00081 + cpd00050 
cpd00007 + cpd01270 + cpd16742  -> cpd00067 + cpd00001 + cpd00081 + cpd00050 + cpd15621 
cpd00007 + cpd01270 + cpd00210  -> cpd00067 + cpd00001 + cpd00081 + cpd00050 + cpd04122 
cpd00002 + cpd00001 + cpd00021  -> cpd00067 + cpd00008 + cpd00009 + cpd00021 
